tol = 1.49012e-08
index = 16387064, m = 16387064
alpha =  29.6084	beta =   780270
   0	5.529e+05	       0
   1	3.61e+05	   9.376
   2	2.897e+05	    13.5
   3	2.455e+05	   17.14
   4	2.173e+05	   20.82
   5	1.974e+05	   25.03
   6	1.828e+05	   30.11
   7	1.727e+05	   36.15
   8	1.654e+05	    43.2
   9	1.598e+05	   51.15
  10	1.552e+05	   59.76
  11	1.505e+05	    68.8
  12	1.455e+05	   77.99
  13	1.401e+05	   87.09
  14	1.342e+05	   95.95
  15	1.281e+05	   104.4
  16	1.218e+05	   112.5
  17	1.156e+05	     120
  18	1.095e+05	   127.1
  19	1.036e+05	   133.7
  20	9.804e+04	   139.9
  21	9.278e+04	   145.6
  22	8.782e+04	     151
  23	8.315e+04	     156
  24	7.879e+04	   160.6
  25	7.469e+04	     165
  26	7.082e+04	     169
  27	6.72e+04	   172.8
  28	6.377e+04	   176.4
  29	6.054e+04	   179.7
  30	5.748e+04	   182.8
  31	5.458e+04	   185.6
  32	5.182e+04	   188.3
  33	4.92e+04	   190.9
  34	4.67e+04	   193.2
  35	4.432e+04	   195.4
  36	4.204e+04	   197.4
  37	3.982e+04	   199.3
  38	3.737e+04	   200.9
  39	3.45e+04	     202
  40	3.155e+04	   202.8
  41	2.883e+04	   203.4
  42	2.643e+04	   203.9
  43	2.436e+04	   204.4
  44	2.262e+04	   204.7
  45	2.12e+04	   205.1
  46	2.005e+04	   205.4
  47	1.913e+04	   205.7
  48	1.834e+04	     206
  49	1.762e+04	   206.3
  50	1.691e+04	   206.5
  51	1.617e+04	   206.7
  52	1.54e+04	   206.9
  53	1.46e+04	   207.1
  54	1.379e+04	   207.3
  55	1.299e+04	   207.4
  56	1.221e+04	   207.5
  57	1.147e+04	   207.6
  58	1.078e+04	   207.7
  59	1.013e+04	   207.8
  60	    9534	   207.8
  61	    8989	   207.9
  62	    8490	   207.9
  63	    8037	   207.9
  64	    7625	     208
  65	    7252	     208
  66	    6913	     208
  67	    6607	     208
  68	    6330	     208
  69	    6078	     208
  70	    5851	     208
  71	    5643	     208
  72	    5452	     208
  73	    5277	     208
  74	    5126	     208
  75	    5025	     208
  76	    4857	     208
  77	    4713	     208
  78	    4535	     208
  79	    4340	     208
  80	    4139	     208
  81	    3932	     208
  82	    3717	     208
  83	    3495	     208
  84	    3263	     208
  85	    3041	   207.9
  86	    2847	   207.9
  87	    2633	   207.9
  88	    2423	   207.9
  89	    2259	   207.9
  90	    2067	   207.9
  91	    1927	   207.9
  92	    1755	   207.9
  93	    1638	   207.9
  94	    1497	   207.8
  95	    1400	   207.8
  96	    1282	   207.8
  97	    1190	   207.8
  98	    1119	   207.8
  99	    1026	   207.8
 100	   958.5	   207.8
 101	   904.2	   207.8
 102	   845.4	   207.8
 103	   786.7	   207.8
 104	   742.9	   207.8
 105	   707.8	   207.8
 106	   667.6	   207.8
 107	   625.1	   207.8
 108	   584.8	   207.8
 109	   554.5	   207.8
 110	   524.1	   207.8
 111	   492.7	   207.8
 112	   452.9	   207.8
 113	   413.6	   207.8
 114	   379.8	   207.8
 115	   348.6	   207.8
 116	   328.1	   207.8
 117	   309.3	   207.8
 118	   294.7	   207.8
 119	   281.1	   207.8
 120	   266.6	   207.8
 121	     253	   207.8
 122	   238.7	   207.8
 123	   222.6	   207.8
 124	     208	   207.8
 125	   193.2	   207.8
 126	   178.2	   207.8
 127	     165	   207.8
 128	   152.4	   207.8
 129	     140	   207.8
 130	   129.4	   207.8
 131	   118.7	   207.8
 132	   109.5	   207.8
 133	   100.2	   207.8
 134	   92.09	   207.8
 135	   84.62	   207.8
 136	   78.01	   207.8
 137	   72.08	   207.8
 138	   66.96	   207.8
 139	   62.62	   207.8
 140	   58.98	   207.8
 141	    55.8	   207.8
 142	   53.13	   207.8
 143	   50.45	   207.8
 144	      48	   207.8
 145	   45.61	   207.8
 146	   43.21	   207.8
 147	   40.84	   207.8
 148	   38.89	   207.8
 149	   37.57	   207.8
 150	   36.16	   207.8
 151	   34.56	   207.8
 152	   33.54	   207.8
 153	   32.26	   207.8
 154	   31.03	   207.8
 155	    29.9	   207.8
 156	   28.46	   207.8
 157	   26.79	   207.8
 158	   25.22	   207.8
 159	   23.68	   207.8
 160	   22.11	   207.8
 161	   20.55	   207.8
 162	   18.98	   207.8
 163	   17.07	   207.8
 164	   15.85	   207.8
 165	   14.48	   207.8
 166	   13.04	   207.8
 167	   12.35	   207.8
 168	   10.95	   207.8
 169	   10.26	   207.8
 170	    9.19	   207.8
 171	   8.519	   207.8
 172	   8.081	   207.8
 173	   7.363	   207.8
 174	   7.016	   207.8
 175	   6.522	   207.8
 176	   6.159	   207.8
 177	   5.866	   207.8
 178	   5.492	   207.8
 179	   5.267	   207.8
 180	   4.998	   207.8
 181	   4.711	   207.8
 182	    4.49	   207.8
 183	   4.174	   207.8
 184	   3.923	   207.8
 185	   3.692	   207.8
 186	   3.461	   207.8
 187	   3.292	   207.8
 188	   3.128	   207.8
 189	   2.916	   207.8
 190	   2.745	   207.8
 191	   2.561	   207.8
 192	   2.368	   207.8
 193	   2.244	   207.8
 194	   2.096	   207.8
 195	   1.964	   207.8
 196	   1.871	   207.8
 197	   1.772	   207.8
 198	   1.677	   207.8
 199	   1.587	   207.8
 200	   1.497	   207.8
 201	   1.422	   207.8
 202	   1.346	   207.8
 203	   1.275	   207.8
 204	   1.209	   207.8
 205	   1.144	   207.8
 206	   1.078	   207.8
 207	   1.027	   207.8
 208	  0.9759	   207.8
 209	  0.9298	   207.8
 210	  0.8814	   207.8
 211	  0.8367	   207.8
 212	  0.7894	   207.8
 213	  0.7485	   207.8
 214	  0.7102	   207.8
 215	   0.666	   207.8
 216	  0.6253	   207.8
 217	  0.5863	   207.8
 218	  0.5541	   207.8
 219	  0.5245	   207.8
 220	  0.4915	   207.8
 221	  0.4667	   207.8
 222	  0.4411	   207.8
 223	  0.4099	   207.8
 224	  0.3797	   207.8
 225	  0.3494	   207.8
 226	  0.3218	   207.8
 227	  0.3022	   207.8
 228	  0.2822	   207.8
 229	  0.2624	   207.8
 230	  0.2499	   207.8
 231	  0.2348	   207.8
 232	  0.2217	   207.8
 233	  0.2104	   207.8
tol = 1.49012e-08
index = 16387064, m = 16387064
alpha =  29.6084	beta =   780270
   0	5.529e+05	       0
   1	2.733e+05	   4.305
   2	1.843e+05	   6.456
   3	1.519e+05	   8.015
   4	1.518e+05	   9.039
   5	1.218e+05	   9.973
   6	1.301e+05	   10.77
   7	1.125e+05	   11.48
   8	1.069e+05	   12.15
   9	1.021e+05	   12.84
  10	9.496e+04	   13.45
  11	9.297e+04	   14.06
  12	9.515e+04	   14.64
  13	8.778e+04	   15.24
  14	8.955e+04	   15.81
  15	8.373e+04	   16.41
  16	8.358e+04	   16.96
  17	8.514e+04	   17.53
  18	8.77e+04	   18.08
  19	8.295e+04	   18.62
  20	8.435e+04	   19.15
  21	8.245e+04	   19.71
  22	8.223e+04	   20.25
  23	8.303e+04	   20.78
  24	8.338e+04	   21.33
  25	8.233e+04	   21.89
  26	8.117e+04	   22.44
  27	8.121e+04	   23.01
  28	8.193e+04	    23.6
  29	8.152e+04	    24.2
  30	7.996e+04	    24.8
