tol = 1.49012e-08
index = 238328, m = 238328
alpha =  29.6027	beta =  47598.4
   0	    8484	       0
   1	    3383	   1.497
   2	    2798	   2.825
   3	    2798	   4.697
   4	    2771	   7.217
   5	    2604	   9.972
   6	    2356	   12.58
   7	    2095	   14.89
   8	    1860	   16.89
   9	    1659	   18.61
  10	    1490	    20.1
  11	    1345	   21.39
  12	    1216	   22.53
  13	    1100	   23.52
  14	   995.2	   24.38
  15	   901.7	   25.14
  16	   817.5	   25.81
  17	   740.1	   26.38
  18	   657.8	   26.88
  19	   502.8	   27.26
  20	   307.5	   27.44
  21	   260.6	   27.52
  22	   259.3	    27.6
  23	     265	   27.68
  24	   245.9	   27.77
  25	   207.8	   27.84
  26	   169.1	   27.89
  27	   137.5	   27.92
  28	   112.9	   27.95
  29	   93.01	   27.96
  30	   75.78	   27.97
  31	   60.52	   27.98
  32	   47.27	   27.99
  33	   36.27	   27.99
  34	    27.7	   27.99
  35	   21.56	   27.99
  36	    17.1	   27.99
  37	   11.52	   27.99
  38	   5.478	   27.99
  39	   5.253	   27.99
  40	   6.355	   27.99
  41	     2.2	   27.99
  42	   3.127	   27.99
  43	   1.247	   27.99
  44	  0.9942	   27.99
  45	  0.8918	   27.99
  46	  0.4681	   27.99
  47	  0.3522	   27.99
  48	  0.3531	   27.99
  49	  0.3325	   27.99
  50	  0.2501	   27.99
  51	  0.2105	   27.99
  52	  0.1903	   27.99
  53	  0.1635	   27.99
  54	  0.1181	   27.99
  55	 0.07625	   27.99
  56	 0.05647	   27.99
  57	   0.048	   27.99
  58	 0.03607	   27.99
  59	 0.02505	   27.99
  60	 0.02182	   27.99
  61	 0.01844	   27.99
  62	  0.0175	   27.99
  63	 0.01641	   27.99
  64	 0.01579	   27.99
  65	 0.01523	   27.99
  66	 0.01492	   27.99
  67	  0.0147	   27.99
  68	 0.01449	   27.99
  69	 0.01426	   27.99
  70	 0.01397	   27.99
  71	  0.0136	   27.99
  72	 0.01315	   27.99
  73	 0.01253	   27.99
  74	 0.01141	   27.99
  75	0.009646	   27.99
  76	0.008069	   27.99
  77	0.006571	   27.99
  78	0.004437	   27.99
  79	0.003005	   27.99
  80	0.002371	   27.99
  81	0.002074	   27.99
  82	 0.00197	   27.99
  83	0.001906	   27.99
  84	0.001866	   27.99
  85	0.001835	   27.99
  86	0.001799	   27.99
  87	0.001755	   27.99
  88	0.001683	   27.99
  89	0.001582	   27.99
  90	0.001457	   27.99
  91	0.001274	   27.99
  92	0.001026	   27.99
  93	0.0007636	   27.99
  94	0.0005661	   27.99
  95	0.0004764	   27.99
  96	0.0004379	   27.99
  97	0.0004165	   27.99
  98	0.0004037	   27.99
  99	0.0003921	   27.99
 100	0.0003811	   27.99
 101	0.0003646	   27.99
 102	0.0003341	   27.99
 103	0.0002866	   27.99
 104	0.0002361	   27.99
 105	0.0001943	   27.99
 106	0.0001733	   27.99
 107	0.0001617	   27.99
 108	0.0001539	   27.99
 109	0.0001469	   27.99
 110	0.000139	   27.99
 111	0.0001321	   27.99
 112	0.0001267	   27.99
 113	0.0001202	   27.99
 114	0.0001114	   27.99
 115	9.668e-05	   27.99
 116	7.279e-05	   27.99
 117	5.54e-05	   27.99
 118	4.805e-05	   27.99
 119	4.412e-05	   27.99
 120	4.217e-05	   27.99
 121	4.05e-05	   27.99
 122	3.898e-05	   27.99
